id,title,authors,venue,year
1456,accessing relational databases from the world wide web sigmod conference 1996,"t nguyen , v srinivasan",None,None
1457,"goal-oriented buffer management revisited k brown , m carey , m livny",None,sigmod conference,1996.0
1458,"building light-weight wrappers for legacy web data-sources using w4f a sahuguet , f azavant vldb 1999",None,None,None
1459,"aqua : a fast decision support systems using approximate query answers s acharya , p gibbons , v poosala vldb 1999",None,None,None
1460,"evaluating queries with generalized path expressions v christophides , s cluet , g moerkotte",None,sigmod conference,1996.0
1461,repeating history beyond aries vldb,c mohan,None,1999.0
1462,"cost-based optimization for magic : algebra and implementation p seshadri , j hellerstein , h pirahesh , t leung , r ramakrishnan , d srivastava , p stuckey , s sudarshan",None,sigmod conference,1996.0
1463,online feedback for nested aggregate queries with multi-threading 1999,"k tan , c goh , b ooi",vldb,None
1464,algorithms for deferred view maintenance sigmod conference,"l colby , t griffin , l libkin , i mumick , h trickey",None,1996.0
1465,the persistent cache : improving oid indexing in temporal object-oriented database systems k nјrvхg vldb,None,None,1999.0
1466,"a query language for multidimensional arrays : design , implementation , and optimization techniques l libkin , r machlin , l wong sigmod conference",None,None,1996.0
1467,"mining deviants in a time series database h jagadish , n koudas , s muthukrishnan vldb 1999",None,None,None
1468,a super scalar sort algorithm for risc processors sigmod conference,r agarwal,None,1996.0
1469,histogram-based approximation of set-valued query-answers 1999,"y ioannidis , v poosala",vldb,None
1470,bifocal sampling for skew-resistant join size estimation,"s ganguly , p gibbons , y matias , a silberschatz",sigmod conference,1996.0
1471,"semantic compression and pattern extraction with fascicles h jagadish , j madar , r ng vldb 1999",None,None,None
1472,"estimating alphanumeric selectivity in the presence of wildcards p krishnan , j vitter , b iyer",None,sigmod conference,1996.0
1473,adaptive parallel aggregation algorithms,"a shatdal , j naughton",sigmod conference,1995.0
1474,extending practical pre-aggregation in on-line analytical processing 1999,"t pedersen , c jensen , c dyreson",vldb,None
1475,"aggregation algorithms for very large compressed data warehouses j li , d rotem , j srivastava vldb",None,None,1999.0
1476,a general solution of the n-dimensional b-tree problem 1995,m freeston,sigmod conference,None
1477,extracting large-scale knowledge bases from the web 1999,"r kumar , p raghavan , s rajagopalan , a tomkins",vldb,None
1478,"efficient optimistic concurrency control using loosely synchronized clocks a adya , r gruber , b liskov , u maheshwari",None,sigmod conference,1995.0
1479,"data-driven , one-to-one web site generation for data-intensive applications 1999","s ceri , p fraternali , s paraboschi",vldb,None
1480,a critique of ansi sql isolation levels sigmod conference,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",None,1995.0
1481,"the garlic project m roth , m arya , l haas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers sigmod conference",None,None,1996.0
1482,"curio : a novel solution for efficient storage and indexing in data warehouses a datta , k ramamritham , h thomas",None,vldb,1999.0
1483,"datawarehousing has more colours than just black & white t zurek , m sinnwell vldb 1999",None,None,None
1484,"the multiview project : object-oriented view technology and applications e rundensteiner , h kuno , y ra , v crestana-taube , m jones , p marrѓn sigmod conference",None,None,1996.0
1485,sonar : system for optimized numeric associationrules sigmod conference 1996,"t fukuda , y morimoto , s morishita , t tokuyama",None,None
1486,high-performance extensible indexing m kornacker,None,vldb,1999.0
1487,"metu interoperable database system a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek sigmod conference 1996",None,None,None
1488,hierarchical prefix cubes for range-sum queries vldb 1999,"c chan , y ioannidis",None,None
1489,"prospector : a content-based multimedia server for massively parallel architectures s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader sigmod conference 1996",None,None,None
1490,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,"a kіnig , g weikum",vldb,1999.0
1491,"lore : a lightweight object repository for semistructured data d quass , j widom , r goldman , k haas , q luo , j mchugh , s nestorov , a rajaraman , h rivero , s abiteboul , j ullman , j wiener 1996",None,sigmod conference,None
1492,"evaluating top-k selection queries s chaudhuri , l gravano 1999",None,vldb,None
1493,hyperstorm - administering structured documents using object-oriented database technology,"k bіhm , k aberer",sigmod conference,1996.0
1494,"distributed hypertext resource discovery through examples s chakrabarti , m berg , b dom 1999",None,vldb,None
1495,thinksheet : a tool for tailoring complex documents sigmod conference,"p piatko , r yangarber , d lin , d shasha",None,1996.0
1496,"building hierarchical classifiers using class proximity k wang , s zhou , s liew 1999",None,vldb,None
1497,"active storage hierarchy , database systems and applications - socratic exegesis f cariёo , w o'connell , j burgess , j saltz 1999",None,vldb,None
1498,state of the art in workflow management research and products 1996,None,None,None
1499,repository system engineering,None,None,1996.0
1500,"cost models do matter : providing cost information for diverse data sources in a federated system m roth , f ozcan , l haas vldb",None,None,1999.0
1501,generating call-level interfaces for advanced database application programming vldb 1999,"u nink , t hфrder , n ritter",None,None
1502,the ins and outs ( and everthing in between ) of data warehousing 1996,None,None,None
1503,"high level indexing of user-defined types w chen , j chow , y fuh , j grandbois , m jou , n mattos , b tran , y wang 1999",None,vldb,None
1504,"is gui programming a database research problem ? n goyal , c hoch , r krishnamurthy , b meckler , m suckow 1996",None,sigmod conference,None
1505,materialized view maintenance and integrity constraint checking : trading space for time 1996,"k ross , d srivastava , s sudarshan",sigmod conference,None
1506,finding intensional knowledge of distance-based outliers vldb 1999,"e knorr , r ng",None,None
1507,"a novel index supporting high volume data warehouse insertion c jermaine , a datta , e omiecinski vldb",None,None,1999.0
1508,maintaining database consistency in presence of value dependencies in multidatabase systems sigmod conference 1996,"c morpain , m cart , j ferriщ , j pons",None,None
1509,rule languages and internal algebras for rule-based optimizers 1996,"m cherniack , s zdonik",sigmod conference,None
1510,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"m tamura , m kitsuregawa",vldb,1999.0
1511,"a scalable and highly available networked database architecture r bamford , r ahad , a pruscino",None,vldb,1999.0
1512,query execution techniques for caching expensive methods sigmod conference,"j hellerstein , j naughton",None,1996.0
1513,"semi-automatic , self-adaptive control of garbage collection rates in object databases j cook , a klauser , a wolf , b zorn sigmod conference",None,None,1996.0
1514,context-based prefetch for implementing objects on relations vldb 1999,"p bernstein , s pal , d shutt",None,None
1515,towards effective and efficient free space management,"m mcauliffe , m carey , m solomon",sigmod conference,1996.0
1516,ghost : fine granularity buffering of indexes vldb 1999,"c goh , b ooi , d sim , k tan",None,None
1517,dbmss on a modern processor : where does time go ?,"a ailamaki , d dewitt , m hill , d wood",vldb,1999.0
1518,static detection of security flaws in object-oriented databases 1996,k tajima,sigmod conference,None
1519,capturing and querying multiple aspects of semistructured data vldb,"c dyreson , m bіhlen , c jensen",None,1999.0
1520,"multi-dimensional resource scheduling for parallel queries m garofalakis , y ioannidis sigmod conference 1996",None,None,None
1521,safe and efficient sharing of persistent objects in thor sigmod conference,"b liskov , a adya , m castro , m day , s ghemawat , r gruber , u maheshwari , a myers , l shrira",None,1996.0
1522,"cache conscious indexing for decision-support in main memory j rao , k ross",None,vldb,1999.0
1523,comparing hierarchical data in external memory 1999,s chawathe,vldb,None
1524,"an open storage system for abstract objects s blott , l relly , h schek sigmod conference",None,None,1996.0
1525,improved histograms for selectivity estimation of range predicates,"v poosala , y ioannidis , p haas , e shekita",sigmod conference,1996.0
1526,explaining differences in multidimensional aggregates 1999,s sarawagi,vldb,None
1527,very large databases in a commercial application environment k hess vldb 1996,None,None,None
1528,"database architecture optimized for the new bottleneck : memory access p boncz , s manegold , m kersten 1999",None,vldb,None
1529,"structures for manipulating proposed updates in object-oriented databases m doherty , r hull , m rupawalla sigmod conference",None,None,1996.0
1530,spatial hash-joins 1996,"m lo , c ravishankar",sigmod conference,None
1531,active views for electronic commerce vldb 1999,"s abiteboul , b amann , s cluet , a eyal , l mignet , t milo",None,None
1532,"partition based spatial-merge join j patel , d dewitt sigmod conference 1996",None,None,None
1533,"an adaptive hybrid server architecture for client caching odbmss k voruganti , m жzsu , r unrau 1999",None,vldb,None
1534,"implementing data cubes efficiently v harinarayan , a rajaraman , j ullman 1996",None,sigmod conference,None
1535,exploiting versions for handling updates in broadcast disks,"e pitoura , p chrysanthis",vldb,1999.0
1536,fast algorithms for maintaining replica consistency in lazy master replicated databases,"e pacitti , p minet , e simon",vldb,1999.0
1537,providing better support for a class of decision support queries,"s rao , a badia , d gucht",sigmod conference,1996.0
1538,"datablitz : a high performance main-memory storage manager j baulier , p bohannon , s gogate , s joshi , c gupta , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , a silberschatz , s sudarshan",None,vldb,1998.0
1539,adapting materialized views after redefinitions sigmod conference,"a gupta , i mumick , k ross",None,1995.0
1540,"bridging heterogeneity : research and practice of database middleware technology f rezende , g sauter 1998",None,vldb,None
1541,broadcast disks : data management for asymmetric communications environments sigmod conference,"s acharya , r alonso , m franklin , s zdonik",None,1995.0
1542,heterogeneous database query optimization in db2 universal datajoiner,"s venkataraman , t zhang",vldb,1998.0
1543,an effective hash based algorithm for mining association rules sigmod conference,"j park , m chen , p yu",None,1995.0
1544,"a database system for real-time event aggregation in telecommunication j baulier , s blott , h korth , a silberschatz",None,vldb,1998.0
1545,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets c faloutsos , k lin",None,sigmod conference,1995.0
1546,"dynamic resource brokering for multi-user query execution d davison , g graefe 1995",None,sigmod conference,None
1547,architecture of oracle parallel server,"r bamford , d butler , b klots , n macnaughton",vldb,1998.0
1548,checkpointing in oracle vldb 1998,"a joshi , w bridge , j loaiza , t lahiri",None,None
1549,"applying update streams in a soft real-time database system b adelberg , h garcia-molina , b kao 1995",None,sigmod conference,None
1550,"balancing histogram optimality and practicality for query result size estimation y ioannidis , v poosala sigmod conference",None,None,1995.0
1551,from data independence to knowledge independence : an on-going story vldb,l vieille,None,1998.0
1552,dtl 's dataspot : database exploration using plain language,"s dar , g entin , s geva , e palmon",vldb,1998.0
1553,enhancing database correctness : a statistical approach sigmod conference 1995,"w hou , z zhang",None,None
1554,resource scheduling for composite multimedia objects vldb 1998,"m garofalakis , y ioannidis , b жzden",None,None
1555,"copy detection mechanisms for digital documents s brin , j davis , h garcia-molina sigmod conference 1995",None,None,None
1556,"performance measurements of tertiary storage devices t johnson , e miller vldb 1998",None,None,None
1557,a database interface for file updates sigmod conference,"s abiteboul , s cluet , t milo",None,1995.0
1558,"incremental maintenance for materialized views over semistructured data s abiteboul , j mchugh , m rys , v vassalos , j wiener vldb",None,None,1998.0
1559,fault tolerant design of multimedia servers,"s berson , l golubchik , r muntz",sigmod conference,1995.0
1560,proximity search in databases 1998,"r goldman , n shivakumar , s venkatasubramanian , h garcia-molina",vldb,None
1561,efficient maintenance of materialized mediated views sigmod conference,"j lu , g moerkotte , j schќ , v subrahmanian",None,1995.0
1562,"carnot and infosleuth : database technology and the world wide web d woelk , w bohrer , n jacobs , k ong , c tomlinson , c unnikrishnan sigmod conference",None,None,1995.0
1563,technology and the future of commerce and finance ( abstract ) vldb,d shaw,None,1998.0
1564,active storage for large-scale data mining and multimedia vldb,"e riedel , g gibson , c faloutsos",None,1998.0
1565,high availability of commercial applications k ivinskis sigmod conference,None,None,1995.0
1566,enterprise transaction processing on windows nt g hope,None,sigmod conference,1995.0
1567,a single pass computing engine for interactive analysis of vldbs t mihalisin,None,vldb,1998.0
1568,dms : a parallel data mining server f george vldb,None,None,1998.0
1569,directv and oracle rdb : the challenges of vldb transaction processing w gettys 1995,None,sigmod conference,None
1570,"enterprise objects framework , a second generation object-relational enabler",c kleissner,sigmod conference,1995.0
1571,"low-cost compensation-based query processing и grјvlen , s hvasshovd , и torbjјrnsen vldb 1998",None,None,None
1572,an overview of db2 parallel edition,"c baru , g fecteau , a goyal , h hsiao , a jhingran , s padmanabhan , w wilson",sigmod conference,1995.0
1573,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,"r weber , h schek , s blott",vldb,1998.0
1574,data extraction and transformation for the data warehouse,c squire,sigmod conference,1995.0
1575,"reducing the braking distance of an sql query engine m carey , d kossmann 1998",None,vldb,None
1576,cover your assets m olson sigmod conference,None,None,1995.0
1577,querying continuous time sequences,"l lin , t risch",vldb,1998.0
1578,"recovery protocols for shared memory database systems l molesky , k ramamritham sigmod conference 1995",None,None,None
1579,edgar f. codd : a tribute and personal memoir sigmod record 2003,c date,None,None
1580,nd-sql : a multi-dimensional language for interoperability and olap vldb 1998,"f gingras , l lakshmanan",None,None
1581,the lyric language : querying constraint objects sigmod conference,"a brodsky , y kornatzky",None,1995.0
1582,"the heterogeneity problem and middleware technology : experiences with and performance of database gateways f rezende , k hergula vldb",None,None,1998.0
1583,"evaluating functional joins along nested reference sets in object-relational and object-oriented databases r braumandl , j clauпen , a kemper vldb 1998",None,None,None
1584,datamine - interactive rule discovery system,"t imielinski , a virmani",sigmod conference,1995.0
1585,"using schema matching to simplify heterogeneous data translation t milo , s zohar",None,vldb,1998.0
1586,efendi : federated database system of cadlab sigmod conference,"e radeke , r bіttger , b burkert , y engel , g kachel , s kolmschlag , d nolte",None,1995.0
1587,nearest neighbor queries 1995,"n roussopoulos , s kelley , f vincent",sigmod conference,None
1588,on optimal node splitting for r-trees vldb 1998,"y garcэa , m lopez , s leutenegger",None,None
1589,"r-tree based indexing of now-relative bitemporal data r bliujute , c jensen , s saltenis , g slivinskas vldb",None,None,1998.0
1590,topological relations in the world of minimum bounding rectangles : a study with r-trees sigmod conference,"d papadias , y theodoridis , t sellis , m egenhofer",None,1995.0
1591,"towards an effective calculus for object query languages l fegaras , d maier 1995",None,sigmod conference,None
1592,"optimal histograms with quality guarantees h jagadish , n koudas , s muthukrishnan , v poosala , k sevcik , t suel",None,vldb,1998.0
1593,"ofl : a functional execution model for object query languages g gardarin , f machuca , p pucheral sigmod conference 1995",None,None,None
1594,"incremental clustering for mining in a data warehousing environment m ester , h kriegel , j sander , m wimmer , x xu vldb 1998",None,None,None
1595,"inferring function semantics to optimize queries m cherniack , s zdonik",None,vldb,1998.0
1596,oodb indexing by class-division,"s ramaswamy , p kanellakis",sigmod conference,1995.0
1597,the handwritten trie : indexing electronic ink sigmod conference 1995,"w aref , d barbarс , p vallabhaneni",None,None
1598,"topaz : a cost-based , rule-driven , multi-phase parallelizer c nippl , b mitschang",None,vldb,1998.0
1599,"improving adaptable similarity query processing by using approximations m ankerst , b braunmќller , h kriegel , t seidl",None,vldb,1998.0
1600,"parallel evaluation of multi-join queries a wilschut , j flokstra , p apers 1995",None,sigmod conference,None
1601,mindreader : querying databases through multiple examples,"y ishikawa , r subramanya , c faloutsos",vldb,1998.0
1602,"the merge/purge problem for large databases m hernсndez , s stolfo",None,sigmod conference,1995.0
1603,semantic assumptions and query evaluation in temporal databases sigmod conference 1995,"c bettini , x wang , e bertino , s jajodia",None,None
1604,"what do those weird xml types want , anyway ? vldb",s derose,None,1999.0
1605,"online dynamic reordering for interactive data processing v raman , b raman , j hellerstein 1999",None,vldb,None
1606,implementing crash recovery in quickstore : a performance study,"s white , d dewitt",sigmod conference,1995.0
1607,hyper-programming in java,"e zirintsis , g kirby , r morrison",vldb,1999.0
1608,"reducing multidatabase query response time by tree balancing w du , m shan , u dayal sigmod conference 1995",None,None,None
1609,"industrial panel on data warehousing technologies : experiences , challenges , and directions u dayal 1999",None,vldb,None
1610,temporal conditions and integrity constraints in active database systems sigmod conference,"a sistla , o wolfson",None,1995.0
1611,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance a hosking , j chen 1999",None,vldb,None
1612,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995.0
1613,"implementation of sql3 structured types with inheritance and value substitutability y fuh , s deпloch , w chen , n mattos , b tran , b lindsay , l demichel , s rielau , d mannhaupt",None,vldb,1999.0
1614,"hypergraph based reorderings of outer join queries with complex predicates g bhargava , p goel , b iyer",None,sigmod conference,1995.0
1615,"the spiffi scalable video-on-demand system c freedman , d dewitt",None,sigmod conference,1995.0
1616,"implementation of two semantic query optimization techniques in db2 universal database q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer vldb",None,None,1999.0
1617,optimization of run-time management of data intensive web-sites 1999,"d florescu , a levy , d suciu , k yagoub",vldb,None
1618,incremental maintenance of views with duplicates sigmod conference,"t griffin , l libkin",None,1995.0
1619,"join queries with external text sources : execution and optimization techniques s chaudhuri , u dayal , t yan",None,sigmod conference,1995.0
1620,determining text databases to search in the internet vldb,"w meng , k liu , c yu , x wang , y chang , n rishe",None,1998.0
1621,"an online video placement policy based on bandwith to space ratio ( bsr ) a dan , d sitaram sigmod conference 1995",None,None,None
1622,atomicity versus anonymity : distributed transactions for electronic commerce j tygar 1998,None,vldb,None
1623,diag-join : an opportunistic join algorithm for 1 : n relationships,"s helmer , t westmann , g moerkotte",vldb,1998.0
1624,upsizing from file server to clent server architectures t team sigmod conference,None,None,1995.0
1625,"object-oriented , rapid application development in a pc database environment 1995",f team,sigmod conference,None
1626,"hash joins and hash teams in microsoft sql server g graefe , r bunker , s cooper vldb 1998",None,None,None
1627,"the data that you wo n't find in databases : tutorial panel on data exchange formats p buneman , d maier sigmod conference 1995",None,None,None
1628,spatio-temporal retrieval with rasdaman vldb 1999,"p baumann , a dehmel , p furtado , r ritsch , n widmann",None,None
1629,"using the calanda time series management system w dreyer , a dittrich , d schmidt",None,sigmod conference,1995.0
1630,"xml repository and active views demonstration s abiteboul , v aguilera , s ailleret , b amann , s cluet , b hills , f hubert , j mamou , a marian , l mignet , t milo , c santos , b tessier , a vercoustre vldb",None,None,1999.0
1631,the lotus notes storage system k moore sigmod conference,None,None,1995.0
1632,"the mirror mmdbms architecture a vries , m doorn , h blanken , p apers vldb 1999",None,None,None
1633,keynote address,None,None,1995.0
1634,"miro web : integrating multiple data sources through semistructured data types l bouganim , t chan-sine-ying , t dang-ngoc , j darroux , g gardarin , f sha 1999",None,vldb,None
1635,parallel database systems 101 j gray sigmod conference,None,None,1995.0
1636,"clustering categorical data : an approach based on dynamical systems d gibson , j kleinberg , p raghavan vldb 1998",None,None,None
1637,keynote address,None,None,1995.0
1638,things every update replication customer should know r golding,None,sigmod conference,1995.0
1639,"fast high-dimensional data search in incomplete databases b ooi , c goh , k tan 1998",None,vldb,None
1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,None
1641,versant replication : supporting fault-tolerant object databases sigmod conference 1995,"y shyy , h au-yeung , c chou",None,None
1642,research and products : are they relevant to each other ? ( panel ) sigmod conference,h edelstein,None,1995.0
1643,algorithms for mining distance-based outliers in large datasets vldb 1998,"e knorr , r ng",None,None
1644,real world requirements for decision support - implications for rdbms s bansal sigmod conference,None,None,1995.0
1645,design and analysis of parametric query optimization algorithms vldb,s ganguly,None,1998.0
1646,filtering with approximate predicates vldb,"n shivakumar , h garcia-molina , c chekuri",None,1998.0
1647,`` one size fits all '' database architectures do not work for dds c french,None,sigmod conference,1995.0
1648,binding propagation in disjunctive databases vldb 1998,s greco,None,None
1649,leveraging the information asset sigmod conference,j perna,None,1995.0
1650,use of a component architecture in integrating relational and non-relational storage systems r atkinson 1995,None,sigmod conference,None
1651,computing iceberg queries efficiently 1998,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,None
1652,bulk-loading techniques for object databases and an application to relational data 1998,"s amer-yahia , s cluet , c delobel",vldb,None
1653,informix online xps 1995,r gerber,sigmod conference,None
1654,order-of-magnitude advantage of tpc-c though massive parallelism sigmod conference,c levine,None,1995.0
1655,algorithms for querying by spatial structure vldb,"d papadias , n mamoulis , v delis",None,1998.0
1656,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0
1657,objects and sql : strange relations ? panel d deutsch,None,sigmod conference,1995.0
1658,bank of america case study : the information currency advantage,"f cariёo , m jahnke",vldb,1998.0
1659,indexing multimedia databases ( tutorial ) 1995,None,None,None
1660,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,"m жzsu , k voruganti , r unrau",vldb,1998.0
1661,an overview of the emerging third-generation sql standard ( tutorial ),None,None,1995.0
1662,"workflow automation : applications , technology , and research ( tutorial )",None,None,1995.0
1663,"design , implementation , and performance of the lham log-structured history data access method vldb 1998","p muth , p o'neil , a pick , g weikum",None,None
1664,integration approaches for cim,None,None,1995.0
1665,"expiring data in a warehouse h garcia-molina , w labio , j yang vldb 1998",None,None,None
1666,storage technology : raid and beyond 1995,None,None,None
1667,"buffering and read-ahead strategies for external mergesort w zhang , p larson vldb 1998",None,None,None
1668,an efficient cost-driven index selection tool for microsoft sql server 1997,"s chaudhuri , v narasayya",vldb,None
1669,"the samos active dbms prototype s gatziu , a geppert , k dittrich 1995",None,sigmod conference,None
1670,design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ),"j thomas , s deпloch , n mattos",sigmod conference,1995.0
1671,"algorithms for materialized view design in data warehousing environment j yang , k karlapalem , q li",None,vldb,1997.0
1672,"data warehouse configuration d theodoratos , t sellis vldb",None,None,1997.0
1673,"infoharness : a system for search and retrieval of heterogeneous information l shklar , a sheth , v kashyap , s thatte",None,sigmod conference,1995.0
1674,fast computation of sparse datacubes vldb,"k ross , d srivastava",None,1997.0
1675,qbi : query by icons sigmod conference,"a massari , s pavani , l saladini , p chrysanthis",None,1995.0
1676,"1-safe algorithms for symmetric site configurations r humborstad , m sabaratnam , s hvasshovd , и torbjјrnsen vldb",None,None,1997.0
1677,"the reach active oodbms a buchmann , a deutsch , j zimmermann , m higa sigmod conference 1995",None,None,None
1678,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources vldb","m roth , p schwarz",None,1997.0
1679,the query by image content ( qbic ) system sigmod conference,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",None,1995.0
1680,"the naos system c collet , t coupaye 1995",None,sigmod conference,None
1681,describing and using query capabilities of heterogeneous sources vldb,"v vassalos , y papakonstantinou",None,1997.0
1682,"efficient construction of regression trees with range and region splitting y morimoto , h ishii , s morishita vldb",None,None,1997.0
1683,the algres testbed of chimera : an active object-oriented database system 1995,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,None
1684,"concurrent garbage collection in o2 m skubiszewski , p valduriez vldb",None,None,1997.0
1685,ptool : a light weight persistent object manager 1995,"r grossman , d hanley , x qin",sigmod conference,None
1686,a one-pass algorithm for accurately estimating quantiles for disk-resident data vldb 1997,"k alsabti , s ranka , v singh",None,None
1687,finding data in the neighborhood vldb 1997,"a eickler , a kemper , d kossmann",None,None
1688,"pattern matching and pattern discovery in scientific , program , and document databases j wang , k zhang , d shasha 1995",None,sigmod conference,None
1689,"adaptive data broadcast in hybrid networks k stathatos , n roussopoulos , j baras",None,vldb,1997.0
1690,shore : combining the best features of oodbms and file systems sigmod conference,s team,None,1995.0
1691,"a generic approach to bulk loading multidimensional index structures j bercken , b seeger , p widmayer vldb 1997",None,None,None
1692,paradise : a database system for gis applications sigmod conference,p team,None,1995.0
1693,"evaluation of main memory join algorithms for joins with set comparison join predicates s helmer , g moerkotte vldb 1997",None,None,None
1694,"semint : a system prototype for semantic integration in heterogeneous databases w li , c clifton",None,sigmod conference,1995.0
1695,dynamic memory adjustment for external mergesort,"w zhang , p larson",vldb,1997.0
1696,"information translation , mediation , and mosaic-based browsing in the tsimmis system j hammer , h garcia-molina , k ireland , y papakonstantinou , j ullman , j widom sigmod conference 1995",None,None,None
1697,garbage collection in object oriented databases using transactional cyclic reference counting vldb,"s ashwin , p roy , s seshadri , a silberschatz , s sudarshan",None,1997.0
1698,visdb : a system for visualizing large databases sigmod conference,"d keim , h kriegel",None,1995.0
1699,"data modeling of time-based media s gibbs , c breiteneder , d tsichritzis 1994",None,sigmod conference,None
1700,fast incremental maintenance of approximate histograms vldb,"p gibbons , y matias , v poosala",None,1997.0
1701,groupwise processing of relational queries vldb 1997,"d chatziantoniou , k ross",None,None
1702,combinatorial pattern discovery for scientific data : some preliminary results sigmod conference,"j wang , g chirn , t marr , b shapiro , d shasha , k zhang",None,1994.0
1703,a region splitting strategy for physical database design of multidimensional file organizations vldb,"j lee , y lee , k whang , i song",None,1997.0
1704,"aries/csa : a method for database recovery in client-server architectures c mohan , i narang sigmod conference",None,None,1994.0
1705,ensuring relaxed atomicity for flexible transactions in multidatabase systems,"a zhang , m nodine , b bhargava , o bukhres",sigmod conference,1994.0
1706,"dataguides : enabling query formulation and optimization in semistructured databases r goldman , j widom",None,vldb,1997.0
1707,"energy efficient indexing on air t imielinski , s viswanathan , b badrinath 1994",None,sigmod conference,None
1708,"geo/environmental and medical data management in the rasdaman system p baumann , p furtado , r ritsch , n widmann vldb 1997",None,None,None
1709,"asset : a system for supporting extended transactions a biliris , s dar , n gehani , h jagadish , k ramamritham sigmod conference 1994",None,None,None
1710,"gte superpages : using ir techniques for searching complex objects s whitehead , h sinha , m murphy vldb 1997",None,None,None
1711,effective memory use in a media server,"e chang , h garcia-molina",vldb,1997.0
1712,"the ecrc multi database system w jonker , h schќtz sigmod conference 1995",None,None,None
1713,data replication for mobile computers sigmod conference,"y huang , a sistla , o wolfson",None,1994.0
1714,efficient user-adaptable similarity search in large multimedia databases vldb 1997,"t seidl , h kriegel",None,None
1715,"fine-grained sharing in a page server oodbms m carey , m franklin , m zaharioudakis sigmod conference 1994",None,None,None
1716,critical database technologies for high energy physics,"d malon , e may",vldb,1997.0
1717,"fast subsequence matching in time-series databases c faloutsos , m ranganathan , y manolopoulos",None,sigmod conference,1994.0
1718,"caprera : an activity framework for transaction processing on wide-area networks s kumar , e kwang , d agrawal vldb 1997",None,None,None
1719,"distributing a search tree among a growing number of processors b krіll , p widmayer",None,sigmod conference,1994.0
1720,"data manager for evolvable real-time command and control systems e hughes , r ginis , b thuraisingham , p krupp , j maurer 1997",None,vldb,None
1721,"distributed processing over stand-alone systems and applications g alonso , c hagen , h schek , m tresch vldb",None,None,1997.0
1722,from structured documents to novel query facilities 1994,"v christophides , s abiteboul , s cluet , m scholl",sigmod conference,None
1723,"alphasort : a risc machine sort c nyberg , t barclay , z cvetanovic , j gray , d lomet",None,sigmod conference,1994.0
1724,the microsoft repository 1997,"p bernstein , b harry , p sanders , d shutt , j zander",vldb,None
1725,"distributed file organization with scalable cost/performance r vingralek , y breitbart , g weikum sigmod conference 1994",None,None,None
1726,multidimensional access methods : trees have grown everywhere 1997,"t sellis , n roussopoulos , c faloutsos",vldb,None
1727,adaptive selectivity estimation using query feedback,"c chen , n roussopoulos",sigmod conference,1994.0
1728,"efficient testing of high performance transaction processing systems d wildfogel , r yerneni vldb 1997",None,None,None
1729,innovation in database management : computer science vs. engineering vldb,k jacobs,None,1997.0
1730,estimating page fetches for index scans with finite lru buffers sigmod conference 1994,"a swami , k schiefer",None,None
1731,"public : a decision tree classifier that integrates building and pruning r rastogi , k shim vldb",None,None,1998.0
1732,genesys : a system for efficient spatial query processing sigmod conference 1994,"t brinkhoff , h kriegel , r schneider , b seeger",None,None
1733,eos : an extensible object store 1994,"a biliris , e panagos",sigmod conference,None
1734,on the discovery of interesting patterns in association rules 1998,"s ramaswamy , s mahajan , a silberschatz",vldb,None
1735,wavecluster : a multi-resolution clustering approach for very large spatial databases vldb 1998,"g sheikholeslami , s chatterjee , a zhang",None,None
1736,databases for networks h jagadish sigmod conference,None,None,1994.0
1737,a survey and critique of advanced transaction models,c mohan,sigmod conference,1994.0
1738,"rainforest - a framework for fast decision tree construction of large datasets j gehrke , r ramakrishnan , v ganti",None,vldb,1998.0
1739,dec data distributor : for data replication and data warehousing d dietterich,None,sigmod conference,1994.0
1740,small materialized aggregates : a light weight index structure for data warehousing g moerkotte vldb,None,None,1998.0
1741,"secure buffering in firm real-time database systems b george , j haritsa vldb",None,None,1998.0
1742,"a performance study of transitive closure algorithms s dar , r ramakrishnan 1994",None,sigmod conference,None
1743,safely and efficiently updating references during on-line reorganization 1998,"c zou , b salzberg",vldb,None
